id,name,category,dietary_fiber,sugar,protein,category_id
1,アマランサス　玄穀,穀類,7.4,57.5,0,1
2,あわ　精白粒,穀類＞あわ,3.3,66.4,0,1
3,あわもち,穀類＞あわ,1.5,43.8,0,1
4,オートミール,穀類,9.4,59.7,0,1
5,押麦　乾,穀類＞大麦,12.2,66.1,0,1
6,押麦　米,穀類＞大麦,4.2,24.3,0,1
7,米粒麦,穀類＞大麦,8.7,67.5,0,1
8,大麦めん　乾,穀類＞大麦,6.3,61.7,2.8,1
9,大麦めん　ゆで,穀類＞大麦,2.5,21.8,0.2,1
10,麦こがし,穀類＞大麦,15.5,61.6,0,1
11,キヌア　玄穀,穀類,6.2,62.8,0.1,1
12,きび　精白粒,穀類,1.6,69.3,0,1
13,薄力粉　1等,穀類＞小麦粉,2.5,73.3,0,1
14,薄力粉　2等,穀類＞小麦粉,2.6,71.7,0,1
15,中力粉　1等,穀類＞小麦粉,2.8,72.3,0,1
16,中力粉　2等,穀類＞小麦粉,2.1,71.9,0,1
17,強力粉　1等,穀類＞小麦粉,2.7,69,0,1
18,強力粉　2等,穀類＞小麦粉,2.1,68.5,0,1
19,強力粉　全粒粉,穀類＞小麦粉,11.2,57,0,1
20,プレミックス粉　お好み焼き用,穀類＞小麦粉,2.8,70.8,3.7,1
21,プレミックス粉　ホットケーキ用,穀類＞小麦粉,1.8,72.6,1.0,1
22,プレミックス粉　から揚げ用,穀類＞小麦粉,2.6,67.4,9.7,1
23,プレミックス粉　天ぷら用,穀類＞小麦粉,2.5,73.6,0.5,1
24,角形食パン　食パン,穀類＞パン,4.2,42.2,1.2,1
25,角形食パン　焼き,穀類＞パン,4.6,46,1.3,1
26,コッペパン,穀類＞パン,2.0,47.1,1.3,1
27,乾パン,穀類＞パン,3.1,75.7,1.2,1
28,フランスパン,穀類＞パン,2.7,54.8,1.6,1
29,ライ麦パン,穀類＞パン,5.6,47.1,1.2,1
30,全粒粉パン,穀類＞パン,4.5,41,1.0,1
31,ロールパン,穀類＞パン,2.0,46.6,1.2,1
32,クロワッサン　レギュラータイプ,穀類＞パン,1.9,49.6,1.3,1
33,イングリッシュマフィン,穀類＞パン,1.2,39.6,1.2,1
34,ナン,穀類＞パン,2.0,45.6,1.3,1
35,ベーグル,穀類＞パン,2.5,52.1,1.2,1
36,うどん　生,穀類＞麺類,3.6,53.2,2.5,1
37,うどん　ゆで,穀類＞麺類,1.3,20.3,0.3,1
38,そうめん・ひやむぎ　乾,穀類＞麺類,2.5,70.2,3.8,1
39,そうめん・ひやむぎ　ゆで,穀類＞麺類,0.9,24.9,0.2,1
40,手延そうめん・手延ひやむぎ　乾,穀類＞麺類,1.8,67.1,5.8,1
41,手延そうめん・手延ひやむぎ　ゆで,穀類＞麺類,1.0,24.5,0.3,1
42,中華めん　生,穀類＞麺類,5.4,50.3,1.0,1
43,中華めん　ゆで,穀類＞麺類,2.8,26.4,0.2,1
44,沖縄生,穀類＞麺類,2.1,52.1,2.1,1
45,沖縄ゆで,穀類＞麺類,1.5,26.5,0.4,1
46,マカロニ・スパゲッティ　乾,穀類＞マカロニ・スパゲッティ,5.4,67.7,0,1
47,マカロニ・スパゲッティ　ゆで,穀類＞マカロニ・スパゲッティ,3.0,29.2,1.2,1
48,生パスタ　生,穀類＞マカロニ・スパゲッティ,1.5,45.4,1.2,1
49,生ふ,穀類＞ふ類,0.5,25.7,0,1
50,焼きふ　釜焼きふ,穀類＞ふ類,3.7,53.2,0,1
51,焼きふ　板ふ,穀類＞ふ類,3.8,53.5,0.5,1
52,焼きふ　車ふ,穀類＞ふ類,2.6,51.6,0.3,1
53,小麦はいが,穀類,14.3,34,0,1
54,小麦たんぱく　粉末状,穀類,2.4,8.2,0.2,1
55,小麦たんぱく　粒状,穀類,0.4,1.4,0.1,1
56,小麦たんぱく　ペースト状,穀類,0.5,3.4,0.6,1
57,ぎょうざの皮　生,穀類,2.2,54.8,0,1
58,しゅうまいの皮　生,穀類,2.2,56.7,0,1
59,春巻きの皮　生,穀類,4.5,57.7,1.1,1
60,春巻きの皮　揚げ,穀類,4.2,49.5,0.9,1
61,ピザ生地,穀類,2.3,48.8,1.3,1
62,ちくわぶ,穀類,1.5,29.6,0,1
63,パン粉　生,穀類,3.0,44.6,0.9,1
64,パン粉　半生,穀類,3.5,50.8,1.0,1
65,パン粉　乾燥,穀類,4.0,59.4,1.2,1
66,冷めん　生,穀類,1.1,56.5,1.3,1
67,米玄米,穀類＞穀粒,3.0,71.3,0,1
68,米精白米　うるち米,穀類＞穀粒,0.5,77.1,0,1
69,米精白米　もち米,穀類＞穀粒,0.5,76.7,0,1
70,米精白米　インディカ米,穀類＞穀粒,0.5,77.2,0,1
71,米はいが精米,穀類＞穀粒,1.3,74.5,0,1
72,米発芽玄米,穀類＞穀粒,3.1,71.2,0,1
73,米赤米,穀類＞穀粒,6.5,65.4,0,1
74,米黒米,穀類＞穀粒,5.6,66.4,0,1
75,玄米,穀類＞米,1.4,34.2,0,1
76,精白米　インディカ米,穀類＞米,0.4,41.1,0,1
77,精白米　うるち米,穀類＞米,1.5,35.6,0,1
78,精白米　もち米,穀類＞米,0.4,43.5,0,1
79,はいが精米,穀類＞米,0.8,35.6,0,1
80,発芽玄米,穀類＞米,1.8,33.2,0,1
81,赤米,穀類＞米,3.4,29.3,0,1
82,黒米,穀類＞米,3.3,28.9,0,1
83,一時的に83,テスト,3.3,28.9,0,1
84,アルファ化米,穀類＞うるち米,1.2,83.6,,1
85,おにぎり,穀類＞うるち米,0.4,39,0.5,1
86,焼きおにぎり,穀類＞うるち米,0.4,39.1,1.0,1
87,きりたんぽ,穀類＞うるち米,0.4,45.8,0,1
88,上新粉,穀類＞うるち米,0.6,77.9,0,1
89,玄米粉,穀類＞うるち米,3.5,80.6,0,1
90,米粉,穀類＞うるち米,0.6,81.3,0,1
91,米粉パン　食パン,穀類＞うるち米,0.7,40.9,1.1,1
92,米粉パン　ロールパン,穀類＞うるち米,0.6,41.4,0.9,1
93,米粉パン　小麦グルテン不使用のもの,穀類＞うるち米,0.9,50.4,0.9,1
94,米粉めん,穀類＞うるち米,0.9,57.5,0.1,1
95,ビーフン,穀類＞うるち米,0.9,79,0,1
96,ライスペーパー,穀類＞うるち米,0.8,83.5,1.7,1
97,米こうじ,穀類＞うるち米,1.4,57.8,0,1
98,もち,穀類＞うるち米,0.5,50.3,0,1
99,赤飯,穀類＞うるち米,1.6,40.3,0,1
100,あくまき,穀類＞うるち米,0.2,25.5,0,1
101,白玉粉,穀類＞うるち米,0.5,79.5,0,1
102,道明寺粉,穀類＞うるち米,0.7,79.7,0,1
103,そば粉　全層粉,穀類＞そば,4.3,65.3,0,1
104,そば粉　内層粉,穀類＞そば,1.8,75.8,0,1
105,そば粉　中層粉,穀類＞そば,4.4,67.2,0,1
106,そば粉　表層粉,穀類＞そば,7.1,58,0,1
107,そば米,穀類＞そば,3.7,70,0,1
108,そば 生,穀類＞そば,6.0,48.5,0,1
109,そば ゆで,穀類＞そば,2.9,23.1,0,1
110,とうもろこし 黄色種,穀類＞とうもろこし,9.0,61.6,0,1
111,とうもろこし 白色種,穀類＞とうもろこし,9.0,61.6,0,1
