id,name,protein,dietary_fiber,sugar,category_id
1,＜畜肉類＞　いのしし　肉　脂身つき　生,18.8,0,0.5,1
2,＜畜肉類＞　いのぶた　肉　脂身つき　生,18.1,0,0.3,1
3,＜畜肉類＞　うさぎ　肉　赤肉　生,20.5,0,0,1
4,＜畜肉類＞　うし　［和牛肉］　かた　脂身つき　生,17.7,0,0.3,1
5,＜畜肉類＞　うし　［和牛肉］　かた　皮下脂肪なし　生,18.3,0,0.3,1
6,＜畜肉類＞　うし　［和牛肉］　かた　赤肉　生,20.2,0,0.3,1
7,＜畜肉類＞　うし　［和牛肉］　かた　脂身　生,4.0,0,0,1
8,＜畜肉類＞　うし　［和牛肉］　かたロース　脂身つき　生,13.8,0,0.2,1
9,＜畜肉類＞　うし　［和牛肉］　かたロース　皮下脂肪なし　生,14.0,0,0.2,1
10,＜畜肉類＞　うし　［和牛肉］　かたロース　赤肉　生,16.5,0,0.2,1
11,＜畜肉類＞　うし　［和牛肉］　リブロース　脂身つき　生,9.7,0,0.1,1
12,＜畜肉類＞　うし　［和牛肉］　リブロース　脂身つき　ゆで,12.6,0,0.1,1
13,＜畜肉類＞　うし　［和牛肉］　リブロース　脂身つき　焼き,14.6,0,0.2,1
14,＜畜肉類＞　うし　［和牛肉］　リブロース　皮下脂肪なし　生,10.3,0,0.1,1
15,＜畜肉類＞　うし　［和牛肉］　リブロース　赤肉　生,14.0,0,0.2,1
16,＜畜肉類＞　うし　［和牛肉］　リブロース　脂身　生,4.2,0,0,1
17,＜畜肉類＞　うし　［和牛肉］　サーロイン　脂身つき　生,11.7,0,0.3,1
18,＜畜肉類＞　うし　［和牛肉］　サーロイン　皮下脂肪なし　生,12.9,0,0.3,1
19,＜畜肉類＞　うし　［和牛肉］　サーロイン　赤肉　生,17.1,0,0.4,1
20,＜畜肉類＞　うし　［和牛肉］　ばら　脂身つき　生,11.0,0,0.1,1
21,＜畜肉類＞　うし　［和牛肉］　もも　脂身つき　生,19.2,0,0.5,1
22,＜畜肉類＞　うし　［和牛肉］　もも　皮下脂肪なし　生,20.2,0,0.6,1
23,＜畜肉類＞　うし　［和牛肉］　もも　皮下脂肪なし　ゆで,25.7,0,0.2,1
24,＜畜肉類＞　うし　［和牛肉］　もも　皮下脂肪なし　焼き,27.7,0,0.5,1
25,＜畜肉類＞　うし　［和牛肉］　もも　赤肉　生,21.3,0,0.6,1
26,＜畜肉類＞　うし　［和牛肉］　もも　脂身　生,4.4,0,0,1
27,＜畜肉類＞　うし　［和牛肉］　そともも　脂身つき　生,17.8,0,0.5,1
28,＜畜肉類＞　うし　［和牛肉］　そともも　皮下脂肪なし　生,18.7,0,0.5,1
29,＜畜肉類＞　うし　［和牛肉］　そともも　赤肉　生,20.7,0,0.6,1
30,＜畜肉類＞　うし　［和牛肉］　ランプ　脂身つき　生,15.1,0,0.4,1
31,＜畜肉類＞　うし　［和牛肉］　ランプ　皮下脂肪なし　生,16.0,0,0.4,1
32,＜畜肉類＞　うし　［和牛肉］　ランプ　赤肉　生,19.2,0,0.5,1
33,＜畜肉類＞　うし　［和牛肉］　ヒレ　赤肉　生,19.1,0,0.3,1
34,＜畜肉類＞　うし　［乳用肥育牛肉］　かた　脂身つき　生,17.1,0,0.3,1
